"Start_date","End_date","Date","Ring","herbivory_leaf_consumption_flux","ndays"
2012-11-13,2012-12-10,2012-12-10,1,146.55989514045,28
2012-11-13,2012-12-10,2012-12-10,2,113.110494834196,28
2012-11-13,2012-12-10,2012-12-10,3,115.322744993031,28
2012-11-13,2012-12-10,2012-12-10,4,103.46750659845,28
2012-11-13,2012-12-10,2012-12-10,5,201.469437752324,28
2012-11-13,2012-12-10,2012-12-10,6,138.720721445743,28
2012-12-10,2013-01-09,2013-01-09,1,110.965835463121,31
2012-12-10,2013-01-09,2013-01-09,2,91.4931113765991,31
2012-12-10,2013-01-09,2013-01-09,3,95.6620579033951,31
2012-12-10,2013-01-09,2013-01-09,4,73.7137642436226,31
2012-12-10,2013-01-09,2013-01-09,5,141.291224038497,31
2012-12-10,2013-01-09,2013-01-09,6,93.1124146181229,31
2013-01-09,2013-02-20,2013-02-20,1,28.886829964805,43
2013-01-09,2013-02-20,2013-02-20,2,65.748763726975,43
2013-01-09,2013-02-20,2013-02-20,3,46.2534784840962,43
2013-01-09,2013-02-20,2013-02-20,4,48.4159194207243,43
2013-01-09,2013-02-20,2013-02-20,5,99.4646800397442,43
2013-01-09,2013-02-20,2013-02-20,6,48.4082884043625,43
2013-02-20,2013-03-14,2013-03-14,1,172.551383287366,23
2013-02-20,2013-03-14,2013-03-14,2,163.979793947958,23
2013-02-20,2013-03-14,2013-03-14,3,84.8565828070638,23
2013-02-20,2013-03-14,2013-03-14,4,89.1810483720275,23
2013-02-20,2013-03-14,2013-03-14,5,145.412546978854,23
2013-04-10,2013-05-13,2013-05-13,1,154.727105728786,34
2013-04-10,2013-05-13,2013-05-13,2,132.567334999281,34
2013-04-10,2013-05-13,2013-05-13,3,99.1686555327684,34
2013-04-10,2013-05-13,2013-05-13,4,64.4006002672313,34
2013-04-10,2013-05-13,2013-05-13,5,167.747499252755,34
2013-05-13,2013-06-14,2013-06-14,1,41.6287539677659,33
2013-05-13,2013-06-14,2013-06-14,2,39.5552157408844,33
2013-05-13,2013-06-14,2013-06-14,3,37.9256326737913,33
2013-05-13,2013-06-14,2013-06-14,4,25.8635741109148,33
2013-05-13,2013-06-14,2013-06-14,5,54.0530579201312,33
2013-06-14,2013-07-08,2013-07-08,1,50.2588679146652,25
2013-06-14,2013-07-08,2013-07-08,2,51.3996409541183,25
2013-06-14,2013-07-08,2013-07-08,3,40.8935695448208,25
2013-06-14,2013-07-08,2013-07-08,4,34.1166398041044,25
2013-06-14,2013-07-08,2013-07-08,5,52.3441191435153,25
2013-06-14,2013-07-08,2013-07-08,6,55.6329839514171,25
2013-07-08,2013-08-16,2013-08-16,1,61.5725790321163,40
2013-07-08,2013-08-16,2013-08-16,2,72.9174015749192,40
2013-07-08,2013-08-16,2013-08-16,3,32.1962435799966,40
2013-07-08,2013-08-16,2013-08-16,4,33.9655851035724,40
2013-07-08,2013-08-16,2013-08-16,5,67.3246213801487,40
2013-07-08,2013-08-16,2013-08-16,6,55.8658572948724,40
2013-08-16,2013-09-13,2013-09-13,1,132.3593039931,29
2013-08-16,2013-09-13,2013-09-13,2,138.773678521444,29
2013-08-16,2013-09-13,2013-09-13,3,44.0660254916264,29
2013-08-16,2013-09-13,2013-09-13,4,59.9838807161806,29
2013-08-16,2013-09-13,2013-09-13,5,106.643877479295,29
2013-08-16,2013-09-13,2013-09-13,6,102.953339877763,29
2013-09-13,2013-10-09,2013-10-09,1,91.1825321131924,27
2013-09-13,2013-10-09,2013-10-09,2,97.7717865003296,27
2013-09-13,2013-10-09,2013-10-09,3,51.322830861218,27
2013-09-13,2013-10-09,2013-10-09,4,61.4902638242227,27
2013-09-13,2013-10-09,2013-10-09,5,103.185943055874,27
2013-09-13,2013-10-09,2013-10-09,6,90.7521996943455,27
2013-10-09,2013-11-14,2013-11-14,1,40.2286287801127,37
2013-10-09,2013-11-14,2013-11-14,2,40.8448306026095,37
2013-10-09,2013-11-14,2013-11-14,3,41.0441077026808,37
2013-10-09,2013-11-14,2013-11-14,4,64.703645475046,37
2013-10-09,2013-11-14,2013-11-14,5,68.2539673877651,37
2013-10-09,2013-11-14,2013-11-14,6,34.8822466430449,37
2013-11-14,2013-12-13,2013-12-13,1,41.5123127821307,30
2013-11-14,2013-12-13,2013-12-13,2,46.5681224996817,30
2013-11-14,2013-12-13,2013-12-13,3,32.4302076201544,30
2013-11-14,2013-12-13,2013-12-13,4,39.2051859059721,30
2013-11-14,2013-12-13,2013-12-13,5,74.9285350458357,30
2013-11-14,2013-12-13,2013-12-13,6,45.2443491175917,30
2013-12-13,2014-01-14,2014-01-14,1,119.319162314439,33
2013-12-13,2014-01-14,2014-01-14,2,127.081010134575,33
2013-12-13,2014-01-14,2014-01-14,3,59.2451920092991,33
2013-12-13,2014-01-14,2014-01-14,4,104.604778009451,33
2013-12-13,2014-01-14,2014-01-14,5,131.075705155009,33
2013-12-13,2014-01-14,2014-01-14,6,91.6286048143457,33
2014-01-14,2014-02-26,2014-02-26,1,65.5941662309014,44
2014-01-14,2014-02-26,2014-02-26,2,85.7403307057597,44
2014-01-14,2014-02-26,2014-02-26,3,71.7311639602295,44
2014-01-14,2014-02-26,2014-02-26,4,63.9378766659534,44
2014-01-14,2014-02-26,2014-02-26,5,79.401502110836,44
2014-01-14,2014-02-26,2014-02-26,6,71.134874789568,44
2014-02-26,2014-03-14,2014-03-14,1,148.2472710785,17
2014-02-26,2014-03-14,2014-03-14,2,202.388446672234,17
2014-02-26,2014-03-14,2014-03-14,3,171.364626322714,17
2014-02-26,2014-03-14,2014-03-14,4,77.1259505869272,17
2014-02-26,2014-03-14,2014-03-14,5,108.630970724391,17
2014-02-26,2014-03-14,2014-03-14,6,103.218248461344,17
2014-03-14,2014-04-14,2014-04-14,2,46.8428844679096,32
2014-03-14,2014-04-14,2014-04-14,3,45.9195269154921,32
2014-03-14,2014-04-14,2014-04-14,4,31.64194514718,32
2014-03-14,2014-04-14,2014-04-14,5,48.2050214506925,32
2014-03-14,2014-04-14,2014-04-14,6,51.5129841144,32
2014-04-14,2014-05-08,2014-05-08,1,54.4240332453912,25
2014-04-14,2014-05-08,2014-05-08,2,53.2597493148252,25
2014-04-14,2014-05-08,2014-05-08,3,43.9738012768402,25
2014-04-14,2014-05-08,2014-05-08,4,28.1553173655713,25
2014-04-14,2014-05-08,2014-05-08,5,45.5167107134354,25
2014-04-14,2014-05-08,2014-05-08,6,51.7785085634514,25
2014-05-08,2014-06-12,2014-06-12,1,32.5218412631252,36
2014-05-08,2014-06-12,2014-06-12,2,38.6686241599061,36
2014-05-08,2014-06-12,2014-06-12,3,43.4616118449025,36
2014-05-08,2014-06-12,2014-06-12,4,24.5752682141278,36
2014-05-08,2014-06-12,2014-06-12,5,24.8746950482462,36
2014-05-08,2014-06-12,2014-06-12,6,22.1021487214476,36
2014-06-12,2014-07-03,2014-07-03,1,55.9596196287394,22
2014-06-12,2014-07-03,2014-07-03,2,71.9927794439505,22
2014-06-12,2014-07-03,2014-07-03,3,46.4485852347165,22
2014-06-12,2014-07-03,2014-07-03,4,38.099785782763,22
2014-06-12,2014-07-03,2014-07-03,5,70.1399389319396,22
2014-06-12,2014-07-03,2014-07-03,6,69.5979728657196,22
2014-07-03,2014-08-13,2014-08-13,1,27.8134878077547,42
2014-07-03,2014-08-13,2014-08-13,2,36.9806382440092,42
2014-07-03,2014-08-13,2014-08-13,3,19.6765338951484,42
2014-07-03,2014-08-13,2014-08-13,4,24.9603561283579,42
2014-07-03,2014-08-13,2014-08-13,5,30.7365763924039,42
2014-07-03,2014-08-13,2014-08-13,6,38.5844761509001,42
2014-08-13,2014-09-11,2014-09-11,1,33.1127972011483,30
2014-08-13,2014-09-11,2014-09-11,4,18.5711843685114,30
2014-08-13,2014-09-11,2014-09-11,5,32.7166575160278,30
2014-08-13,2014-09-11,2014-09-11,6,41.3319778463708,30
2014-09-11,2014-10-16,2014-10-16,1,50.2058630391766,36
2014-09-11,2014-10-16,2014-10-16,2,49.4510351262526,36
2014-09-11,2014-10-16,2014-10-16,3,36.8133853867404,36
2014-09-11,2014-10-16,2014-10-16,4,34.3106811693225,36
2014-09-11,2014-10-16,2014-10-16,5,57.5548720017163,36
2014-09-11,2014-10-16,2014-10-16,6,37.2433474308814,36
